Original_name	Simplified_name
Quercus pyrenaica 	Quercus pyrenaica 
Quercus robur	Quercus robur
Quercus robur x faginea	Quercus robur
Ranunculus acris	Ranunculus acris
Ranunculus auricomus 	Ranunculus auricomus 
Ranunculus ficaria 	Ranunculus ficaria 
Ranunculus repens	Ranunculus repens
Ranunculus tuberosus	Ranunculus tuberosus
Rhamnus alaternus 	Rhamnus alaternus 
Rhamnus cathartica	Rhamnus cathartica
Ribes alpinum 	Ribes alpinum 
Rosa arvensis	Rosa arvensis
Rosa canina 	Rosa canina 
Rosa pimpinellifolia 	Rosa pimpinellifolia 
Rosa tomentosa 	Rosa tomentosa 
Rubia peregrina	Rubia peregrina
Rubus caesius	Rubus caesius
Rubus ulmifolius	Rubus ulmifolius
Rumex acetosa 	Rumex acetosa 
Rumex conglomeratus 	Rumex conglomeratus 
Rumex crispus	Rumex crispus
Rumex sanguineus	Rumex sanguineus
Ruscus aculeatus	Ruscus aculeatus
Salix alba 	Salix alba 
Salix atrocinerea 	Salix atrocinerea 
Salix caprea 	Salix caprea 
Salix eleagnos 	Salix eleagnos 
Salix purpurea 	Salix purpurea 
Salix triandra 	Salix triandra 
Sambucus ebulus 	Sambucus ebulus 
Sambucus nigra	Sambucus nigra
Sanguisorba minor 	Sanguisorba minor 
Sanicula europaea	Sanicula europaea
Saponaria officinalis 	Saponaria officinalis 
Saxifraga hirsuta 	Saxifraga hirsuta 
Scilla lilio-hyacinthus	Scilla lilio-hyacinthus
Scirpus holoschoenus 	Scirpus holoschoenus 
Scrophularia alpestris 	Scrophularia alpestris 
Scrophularia auriculata 	Scrophularia auriculata 
Silene dioica	Silene dioica
Silene latifolia subsp alba	Silene latifolia
Silene nutans	Silene nutans
Silene vulgaris	Silene vulgaris
Sison amomum 	Sison amomum 
Sisymbrium austriacum 	Sisymbrium austriacum 
Solanum dulcamara 	Solanum dulcamara 
Solidago virgaurea	Solidago virgaurea
Sonchus oleraceus 	Sonchus oleraceus 
Sorbus aria 	Sorbus aria 
Sorbus aucuparia 	Sorbus aucuparia 
Sorbus torminalis	Sorbus torminalis
Stachys officinalis 	Stachys officinalis 
Stachys sylvatica 	Stachys sylvatica 
Stellaria holostea	Stellaria holostea
Stellaria media 	Stellaria media 
Symphytum tuberosum 	Symphytum tuberosum 
Tamus communis	Tamus communis
Tanacetum corymbosum 	Tanacetum corymbosum 
Taraxacum officinale	Taraxacum officinale
Teucrium scorodonia 	Teucrium scorodonia 
Thalictrum minus	Thalictrum minus
Thalictrum tuberosum 	Thalictrum tuberosum 
Tilia platyphyllos	Tilia platyphyllos
Torilis arvensis	Torilis arvensis
Torilis japonica	Torilis japonica
Trifolium fragiferum 	Trifolium fragiferum 
Trifolium pratense	Trifolium pratense
Trifolium repens	Trifolium repens
Tussilago farfara	Tussilago farfara
Ulmus glabra	Ulmus glabra
Ulmus minor	Ulmus minor
Urtica dioica	Urtica dioica
Valeriana officinalis 	Valeriana officinalis 
Valeriana pyrenaica 	Valeriana pyrenaica 
Verbena officinalis 	Verbena officinalis 
Veronica chamaedrys	Veronica chamaedrys
Veronica hederifolia 	Veronica hederifolia 
Veronica montana	Veronica montana
Veronica officinalis 	Veronica officinalis 
Veronica ponae	Veronica ponae
Viburnum lantana	Viburnum lantana
Viburnum opulus	Viburnum opulus
Viburnum tinus 	Viburnum tinus 
Vicia cracca	Vicia cracca
Vicia sepium	Vicia sepium
Viola alba	Viola alba
Viola hirta	Viola hirta
Viola reichenbachiana	Viola reichenbachiana
Viscum album 	Viscum album 
Vitis vinifera	Vitis vinifera
Xanthium sp 	Xanthium
Xeranthemum cylindraceum 	Xeranthemum cylindraceum 
